Aba Boost 1,Aba Boost 2,Aba Boost 3,Aba Boost 4
125047,62103,132141,-24660
115282,93734,164522,25897
114757,84817,172683,25770
114220,79750,182914,24969
117502,79460,190288,23542
130460,93042,198150,21454
129696,96214,187576,21520
128441,98597,176813,21073
147627,52777,133935,-12587
146767,52993,140131,-13652
120047,84715,173691,24388
119052,79344,183922,24135
121878,78750,191294,23438
125885,79499,198025,22343
133180,91138,199156,24460
131967,94013,188525,25307
151979,63751,150215,37588
161215,42061,117199,-9973
160057,43843,125717,-11351
159298,44520,132254,-12433
133358,24846,166866,-16679
122902,32464,173910,-13831
120040,48058,175020,-10296
150756,46110,162938,31222
159642,52424,149664,39283
167304,38724,105960,-3995
165692,38778,114484,-7537
164343,40713,122865,-8900
163667,41543,129371,-10029
174793,71705,117163,12562
160344,32272,148954,-17555
140106,24684,167036,-17656
129136,32254,174126,-14645
125875,47847,175235,-10895
173824,35208,103474,3389
172039,35413,111843,-318
170605,37497,120073,-1826
185889,67015,104481,11800
184733,70587,116027,13627
183895,74429,123399,15026
170066,32210,149002,-20676
149258,24516,167190,-21107
137779,32039,174327,-18378
183220,32012,109246,8512
181937,34243,117323,6785
202209,61391,92351,10529
201582,65718,103064,12109
200151,69443,114757,13455
199017,73439,122281,14700
163820,24400,167314,-25874
151849,31877,174499,-23568
213179,66309,130825,-19348
219506,59806,90746,10496
218597,64287,101605,11416
216875,68167,113445,12223
215439,72319,121119,13280
228324,83076,142662,-2538
226332,76980,135302,-11696
223222,68000,129146,-23712
216993,58851,127353,-34651
208029,49611,130377,-44037
196531,41485,138355,-50744
176398,92166,115018,-62907
172015,87241,114511,-70103
168871,84541,112915,-77214
165031,82011,112135,-83763
161420,79258,111282,-89839
158105,80119,110429,-90450
145893,134197,151505,22622
148542,128718,153592,27000
150760,118606,156196,27105
152331,107945,159879,26716
152992,96546,165462,25248
152377,85219,173585,24377
156882,50818,127872,69309
159592,40018,124702,62925
162479,29453,125667,56012
165107,20075,130001,49758
166997,12433,135161,45582
167728,6434,140818,43489
167505,2721,145745,43483
195235,25579,108143,60926
204310,29016,95252,58772
210924,28302,86952,51965
213079,26221,85679,43988
237194,58174,89012,9443
236016,62806,100018,9660
233983,66837,112007,9918
232241,71141,119831,10791
235363,82739,127517,8191
236035,77965,128279,2098
236992,66518,128382,-10000
238888,55956,128028,-21573
239207,86397,147477,549
237276,84546,141180,-4773
235139,78599,133669,-14468
231884,69766,127362,-27213
225508,60764,125418,-38911
216405,51671,128293,-49016
204760,43694,136122,-56298
196905,44003,143415,-60082
179945,96349,113227,-65925
175079,91567,112869,-73616
171580,89012,111422,-81382
167527,86573,110791,-88606
163772,83748,110088,-95220
160306,84472,109386,-96074
159454,90216,106358,-91458
144325,135369,148523,12794
147611,135855,150767,23302
150715,130073,152859,27867
153385,119663,155463,27946
155409,108705,159143,27540
156519,97007,164723,26082
156366,85382,172840,25327
155649,77613,183037,28931
161461,58747,137489,82904
164756,48124,127868,77692
168044,37176,124688,71262
171321,26459,125539,64061
174110,16928,129698,57378
176148,9136,134708,52756
177018,2986,140222,50312
176936,-880,145000,50257
207068,21220,106680,69502
216741,24669,93641,67324
223871,24065,85191,60265
226322,22154,83766,52010
254508,56456,87198,9075
253091,61237,98351,8771
250733,65417,110489,8618
248677,69871,118465,9315
251580,82224,126916,6538
252395,77601,127829,9
253512,66312,128082,-12860
255549,55905,127861,-25179
242390,86056,139528,-6815
240110,80258,131866,-16799
236710,71570,125410,-29909
230183,62711,123317,-41982
220933,53761,126045,-52442
209147,45933,133729,-60021
180542,100634,111484,-69574
175378,96008,111272,-77561
171670,93572,109972,-85658
167467,91167,109487,-93144
163588,88218,108930,-99853
159968,88788,108376,-100693
146212,137550,149868,22655
149611,131457,151977,27474
152581,120747,154585,27721
154905,109493,158263,27487
156308,97496,163840,26215
156455,85571,171949,25690
167785,45523,127743,82418
171507,34429,124605,76084
175093,23563,125383,68872
178041,13881,129367,62136
180226,5940,134218,57449
181238,-360,139582,54963
181302,-4378,144210,54964
213278,16956,105190,75409
223397,20359,92009,73283
230919,19821,83415,66106
263428,59614,96606,9282
260913,63939,108891,8880
258709,68541,117017,9413
261681,81639,126219,6089
262643,77167,127279,-704
263921,66037,127681,-13970
240608,82140,130236,-18543
220985,56125,123949,-54612
209046,48456,131484,-62334
172428,100422,109796,-81985
160208,92580,107932,-104259
144464,132772,150928,26142
151462,97938,162762,25719
168629,31711,124697,78801
